fr_fr,en_gb,ifcproduct,ifctypeproduct,allplan,archicad,revit,domaine_architecture,domaine_structure,domaine_fluides
,Time Clock,IfcDistributionFlowElement,IfcElectricTimeControlType TIMECLOCK,,,,,,YES
,Time Delay,IfcDistributionFlowElement,IfcElectricTimeControlType TIMEDELAY,,,,,,YES
,Air Terminal Box,IfcDistributionFlowElement,IfcAirTerminalBoxType *,,,,,,YES
,Residual Current Circuit Breaker,IfcDistributionFlowElement,IfcProtectiveDeviceType RESIDUALCURRENTCIRCUITBREAKER,,,,,,YES
Porte,Door,IfcDoor,IfcDoorStyle *,,Porte,Porte,YES,,
,Air Handler,IfcEnergyConversionDevice,IfcUnitaryEquipmentType AIRHANDLER,,,,,,YES
,Air To Air Heat Recovery,IfcEnergyConversionDevice,IfcAirToAirHeatRecoveryType *,,,,,,YES
,Battery,IfcEnergyConversionDevice,IfcElectricFlowStorageDeviceType BATTERY,,,,,,YES
,Boiler,IfcEnergyConversionDevice,IfcBoilerType *,,,,,,YES
,Condenser,IfcEnergyConversionDevice,IfcCondenserType *,,,,,,YES
,Convector,IfcEnergyConversionDevice,IfcSpaceHeaterType CONVECTOR,,,,,,YES
,Cooled Beam,IfcEnergyConversionDevice,IfcCooledBeamType *,,,,,,YES
,Cooling Tower,IfcEnergyConversionDevice,IfcCoolingTowerType *,,,,,,YES
,Electric Generator,IfcEnergyConversionDevice,IfcElectricGeneratorType *,,,,,,YES
,Electric Motor,IfcEnergyConversionDevice,IfcElectricMotorType *,,,,,,YES
,Evaporative Cooler,IfcEnergyConversionDevice,IfcEvaporativeCoolerType *,,,,,,YES
,Evaporator,IfcEnergyConversionDevice,IfcEvaporatorType *,,,,,,YES
,Heat Exchanger,IfcEnergyConversionDevice,IfcHeatExchangerType *,,,,,,YES
,Humidifier,IfcEnergyConversionDevice,IfcHumidifierType *,,,,,,YES
,Motor Connection,IfcEnergyConversionDevice,IfcMotorConnectionType *,,,,,,YES
,Radiator,IfcEnergyConversionDevice,IfcSpaceHeaterType *,,,,,,YES
,Roof Top Unit,IfcEnergyConversionDevice,IfcUnitaryEquipmentType ROOFTOPUNIT,,,,,,YES
,Space Heater,IfcEnergyConversionDevice,IfcSpaceHeaterType *,,,,,,YES
,Transformer,IfcEnergyConversionDevice,IfcTransformerType *,,,,,,YES
,Tube Bundle,IfcEnergyConversionDevice,IfcTubeBundleType *,,,,,,YES
,Unitary Equipment,IfcEnergyConversionDevice,IfcUnitaryEquipmentType *,,,,,,YES
,Air Conditioning Unit,IfcEnergyConversionDevice,IfcUnitaryEquipmentType AIRCONDITIONINGUNIT,,,,,,YES
,Baseboard Heater,IfcEnergyConversionDevice,IfcSpaceHeaterType BASEBOARDHEATER,,,,,,YES
,Chiller,IfcEnergyConversionDevice,IfcChillerType *,,,,,,YES
,Coil,IfcEnergyConversionDevice,IfcCoilType *,,,,,,YES
,Skirting Board Heater,IfcEnergyConversionDevice,IfcSpaceHeaterType BASEBOARDHEATER,,,,,,YES
,Split System,IfcEnergyConversionDevice,IfcUnitaryEquipmentType AIRHANDLER,,,,,,YES
Attache / fixation,Fastener,IfcFastener,IfcFastenerType,,,,,YES,
Joint de mortier,Jointing Mortar,IfcFastener,IfcFastenerType,,,,,YES,
Soudure,Weld,IfcFastener,IfcFastenerType,,,,,YES,
Colle,Glue,IfcFastener,IfcFastenerType,,,,,YES,
,Circuit Breaker,IfcFlowController,IfcProtectiveDeviceType CIRCUITBREAKER,,,,,,YES
,Damper,IfcFlowController,IfcDamperType *,,,,,,YES
,Energy Meter,IfcFlowController,IfcFlowMeterType ENERGYMETER,,,,,,YES
,Fire Damper,IfcFlowController,IfcDamperType FIREDAMPER,,,,,,YES
,Fire and Smoke Damper,IfcFlowController,IfcDamperType FIRESMOKEDAMPER,,,,,,YES
,Flow Controller,IfcFlowController,IfcFlowControllerType,,,,,,YES
,Flow Meter,IfcFlowController,IfcFlowMeterType *,,,,,,YES
,Fume Hood Exhaust,IfcFlowController,IfcDamperType FUMEHOODEXHAUST,,,,,,YES
,Oil Meter,IfcFlowController,IfcFlowMeterType OILMETER,,,,,,YES
,Switching Device,IfcFlowController,IfcSwitchingDeviceType *,,,,,,YES
,Valve,IfcFlowController,IfcValveType *,,,,,,YES
,Varistor,IfcFlowController,IfcProtectiveDeviceType VARISTOR,,,,,,YES
,Water Meter,IfcFlowController,IfcFlowMeterType WATERMETER,,,,,,YES
,Nurse Call Device,IfcFlowController,IfcSwitchingDeviceType *,,,,,,YES
,Cable Carrier Fitting,IfcFlowFitting,IfcCableCarrierFittingType *,,,,,,YES
,Duct Fitting,IfcFlowFitting,IfcDuctFittingType *,,,,,,YES
,Flow Fitting,IfcFlowFitting,IfcFlowFittingType,,,,,,YES
,Junction Box,IfcFlowFitting,IfcJunctionBoxType *,,,,,,YES
,Pipe Fitting,IfcFlowFitting,IfcPipeFittingType *,,,,,,YES
,Fan,IfcFlowMovingDevice,IfcFanType *,,,,,,YES
,Flow Moving Device,IfcFlowMovingDevice,IfcFlowMovingDeviceType,,,,,,YES
,Pump,IfcFlowMovingDevice,IfcPumpType *,,,,,,YES
,Compressor,IfcFlowMovingDevice,IfcCompressorType *,,,,,,YES
,Cable Carrier Segment,IfcFlowSegment,IfcCableCarrierSegmentType,,,,,,YES
,Conduit Segment,IfcFlowSegment,IfcCableSegmentType CONDUITSEGMENT,,,,,,YES
,Duct Segment,IfcFlowSegment,IfcDuctSegmentType *,,,,,,YES
,Flow Segment,IfcFlowSegment,IfcFlowSegmentType,,,,,,YES
,Gutter,IfcFlowSegment,IfcPipeSegmentType GUTTER,,,,,,YES
,Pipe Segment,IfcFlowSegment,IfcPipeSegmentType *,,,,,,YES
,Spool,IfcFlowSegment,IfcPipeSegmentType SPOOL,,,,,,YES
,Cable Ladder Segment Type,IfcFlowSegment,IfcCableSegmentType CABLELADDERSEGMENTYPE,,,,,,YES
,Cable Segment,IfcFlowSegment,IfcCableSegmentType *,,,,,,YES
,Cable Tray Segment,IfcFlowSegment,IfcCableSegmentType CABLETRAYSEGMENT,,,,,,YES
,Cable Trunking Segment,IfcFlowSegment,IfcCableSegmentType CABLETRUNKINGSEGMENT,,,,,,YES
,Pipe Segment (Flexible),IfcFlowSegment,IfcPipeSegmentType FLEXIBLESEGMENT,,,,,,YES
,Pipe Segment (Rigid),IfcFlowSegment,IfcPipeSegmentType RIGIDSEGMENT,,,,,,YES
,Electric Flow Storage Device,IfcFlowStorageDevice,IfcElectricFlowStorageDeviceType *,,,,,,YES
,Flow Storage Device,IfcFlowStorageDevice,IfcFlowStorageDeviceType,,,,,,YES
,Tank,IfcFlowStorageDevice,IfcTankType *,,,,,,YES
,Air Terminal,IfcFlowTerminal,IfcAirTerminalType *,,,,,,YES
,Audio Visual Outlet,IfcFlowTerminal,IfcOutletType AUDIOVISUALOUTLET,,,,,,YES
